"","Estimate","StdErr"
"Minnesota Lynx",8.00311062816691,2.14208288728564
"New York Liberty",7.82785122905555,2.13567043418921
"Seattle Storm",5.69192353442858,2.19203431953409
"Connecticut Sun",5.22596219440144,2.12115606036229
"Las Vegas Aces",4.72059539682262,2.24460807928925
"Home Advantage",1.11376528184035,0.967843808709578
"Phoenix Mercury",-1.06787779011183,2.13870841841065
"Chicago Sky",-2.51993468185989,2.24882183250508
"Washington Mystics",-3.94655498960542,2.07445573344045
"Atlanta Dream",-4.41934307445633,2.24660662570992
"Indiana Fever",-5.65412824951572,2.09920344998862
"Los Angeles Sparks",-6.81222167625948,2.17312577423998
"Dallas Wings",-7.0493825210664,2.15085175189306
