"","Estimate","StdErr"
"Minnesota Lynx",11.8295282951448,2.90268792303075
"New York Liberty",7.76510571635276,2.81849644646764
"Connecticut Sun",7.08347508002621,2.92041671899491
"Seattle Storm",5.43679380011724,2.90238458056971
"Las Vegas Aces",1.08576482713899,3.19620212983751
"Home Advantage",-0.170384418540674,1.30720041564929
"Chicago Sky",-1.29443933466413,3.01244246981802
"Phoenix Mercury",-2.26451542319972,2.8744476463751
"Atlanta Dream",-3.33663869458146,3.11750520334298
"Dallas Wings",-3.90145953180506,3.17257601909809
"Washington Mystics",-5.20079608770238,2.80754914725481
"Los Angeles Sparks",-7.60902323648507,2.86030807278817
"Indiana Fever",-9.59379541034218,2.83087115470598
