"","Est","StdErr"
"New York Liberty",1.01126002005842,0.344250782454656
"Connecticut Sun",0.824363516245193,0.323247000640981
"Minnesota Lynx",0.67156719746609,0.300593726606083
"Seattle Storm",0.57184488499938,0.311114186554063
"Las Vegas Aces",0.408646788790213,0.303964616113109
"HFA",0.170441968171087,0.138877903452853
"Phoenix Mercury",0.108710897209676,0.291482863289417
"Indiana Fever",-0.238940130159284,0.288385641088621
"Atlanta Dream",-0.316216428539638,0.307077654724416
"Chicago Sky",-0.402796397121774,0.301194129997954
"Washington Mystics",-0.83229099205347,0.313237346773355
"Dallas Wings",-0.87007023112079,0.319879066334242
"Los Angeles Sparks",-0.936079125774022,0.336891693844097
